Ship's Name,IMO number,Call Sign,Flag Country,Port of registry ,Year Built,Owner ,Operator,Type of Cargo Containment System,Tank Capacity (total 100% full),Classification Society, 1st Gas management System,2ndGas management System, LOA,LBP,Breadth (Moulded),Depth (Moulded),Upper deck height above BL,Manifold heigh above BL,Draft  (Design),Draft  (Ballast),Draft  (Load),Displacement (Design),Displacement (Loaded) ,Gross tonnage,Allowable Hull Pressure (ton/m²),Ballast Fender Percentage AA->DD,Fender Reaction Force (%) AA,Fender Reaction Force (%) BB,Fender Reaction Force (%) CC,Fender Reaction Force (%) DD,Loaded Fender Percentage AA->DD,Fender Reaction Force (ton) AA,Fender Reaction Force (ton) BB,Fender Reaction Force (ton) CC,Fender Reaction Force (ton) DD,Berthing Energy & Fender Absorb Percentage,Mooring Rope,Rope BL,Mooring Tail,Tail BL,Mooring Pattern,Gangway B-A,Gangway D-C,Margin Gangway Upper,Margin Gangway Lower,Manifold Space,ESD By-Pass,Maximum Flow ,Maximum Manifold Barrg,Margin Manifold Upper,Margin Manifold Lower,FiberOpic Connector Type,Electric Connector Type,Primary CTMS,Secondary CTMS,SDP Outside Diameter,SDP inside Diameter,Flage Thickness,Raised Face,Surface Finish,Count of SDP onboard,Higher Sunkenbitt BL,Higher Sunkenbitt Load,Lower Sunkenbitt BL2,Lower Sunkenbitt Load3,
PATRIS,9766889,D5NT8,Liberia,Monrovia,2018,Artemis Gas 1 Shipping Inc.,K Line Energy Shipping (UK) Ltd.,Membrane,173708.65,Lloyds Register,GCU,N/A,294.9,282.9,46.4,26.5,26.5,31.21,0,9.4,11.5,0,"131,214.80","131,214.80",20,"92, 100, 100, 100",23%,20%,23%,26%,"100, 100, 100, 100",22%,21%,24%,26%,"171.4, 30.86%",HMPE ,125,PE/OE,160,FWD : 3/2/2/2 (in) :::::::: 2/2/2/3 AFT  ,8.75,3.1,1.6,2.4,"3, 3, 3, 3",Have,"12,216",4,1.69,1.71,FC Type Connector (6 Core),PYLE NATIONAL CONNECTOR AF SERIES (HDE-1016-3716-M),Rosemount Tank Radar S-112,Enraf FTLG807,595.4,381,36.6,470 mm,"6.3 Max, 3.2 Min.",6,6.66,4.56,4.03,1.928,
PRISM BRILLIANCE,9810551,3FXT5,Panama,Panama,2019,HHIENS2 Shipholding S.A.,"SK SHIPPING CO., LTD",Membrane,180015.77,KR + ABS,Gas Burning,GCU,299,293.6,48,26.4,26.4,31.5,0,9.3,11.5,0,"121,682.00","121,682.00",20,"0, 100, 100, 100",#DIV/0!,25%,19%,21%,"0, 100, 100, 100",#DIV/0!,25%,19%,20%,"161.7, 29.11%",HMPE ,131,NYLON,166,FWD : 3/2/2/2 :::::::: 2/2/2/3 AFT  ,3.2,0.7,1.6,2.3,"3, 3, 3, 3",?,"14,000",4,1.3,2,6 core fiber optic connector,"37-way electrical connecotor (HDE-1716-3716F, HDE-1716-44-M)",RADAR,RADAR,597,387,36.6,460 mm,"6.3 Max, 3.2 Min.",10,6.56,4.36,4.12,1.915,
REX TILLERSON,9953248,5LPT9,Liberia,Monrovia,2024,ORYX LNG No.1 SHIPPING CORPORATION,"MOL GLOBAL SHIP MANAGEMENT
PTE.LTD.",Membrane,174083.3,ABS + CCS,Gas Burning,GCU,299,291,46.4,26.25,26.25,31,0,9.3,11.5,0,"117,089.70","117,089.70",20,"84, 100, 100, 100",25%,20%,23%,26%,"100, 100, 100, 100",21%,19%,23%,26%,"155.6, 28.02%",HMPE ,126,POLYAMIDE,158,FWD : 3/2/2/2 :::::::: 2/2/2/3 AFT  ,12.7,2.4,1.75,2.15,"3, 3, 3, 3",None,"14,000",5,1.8,1.5,6 way Furukawa,37 Pyle National,Radar,Radar,597,387.4,38,469.9 mm,"6.3 Max, 3.2 Min.",5,6.99,4.79,4.63,2.434,
SAINT BARBARA,9946386,FMTQ,FRANCE,MARSEILLE,2023,SNC CHOPIN LEASING,KNUTSEN OAS,Membrane,174136.61,LLOYD REGISTER,Gas Burning,Reliq Plant,298.97,291,46.4,35.3,26.3,29.19,0,9.6,11.5,0,"116,131.00","116,131.00",20,"0, 100, 100, 94",0%,21%,19%,20%,"0, 100, 100, 100",0%,21%,16%,16%,"154.3, 27.78%",Steel Wire ,131,Nylon Multi-Filament ,164,FWD : 2/2/3/2 :::::::: 2/3/2/2 AFT  ,4,5.36,2,2.2,"3, 3, 3, 3",Have,"12,249",4,2.5,1.1,Fibro Optic 6 Core Connector,37-Way Electric.Receptacle & Miyaki Tele Receptracle,GLA-310/5,GLH-320,597,381,37.5,469.9 mm,"3.2 Max, 6.3 Min.",8,6.93,5.03,3.65,1.75,
SEAPEAK CREOLE,9681687,C6BF3,Bahamas,Nassau / Bahamas,2016,SEA 64 LEASING CO. LIMITED,SEAPEAK MARITIME (GLASGOW) LIMITED,Membrane,173479.5,DNV,Gas Burning,GCU,294.9,282.9,46.4,26.5,26.5,31.2,0,9.4,11.5,0,"119,823.00","119,823.00",20,"100, 100, 100, 100",19%,18%,21%,24%,"100, 100, 100, 100",18%,17%,20%,23%,"169.5, 30.52%",HMPE ,125,Polyester,125,FWD : 3/2/2/2 :::::::: 2/2/2/3 AFT  ,3.5,3,1.6,2.4,"3, 3, 3, 3",Have,"14,000",5,1.7,1.7,FC Connector type,"37 way & 4 way, HDE-B1716-621S2 (Female) ",Radar type,Float,595.4,381,36.6,470 mm,"6.2 Max, 3.2 Min.",5,7.5,5.4,4.9,2.8,
Seapeak Glasgow,9781918,C6DG2,Bahamas,Nassau,2018,Seapeak Glasgow LLC,Seapeak Maritime (Glasgow) Ltd.,Membrane,174162.4,DNV,Gas Burning,Gas Burning,293.99,287.66,47.5,26.4,26.4,31.4,0,9.4,11.3,0,"119,000.00","119,000.00",20,"100, 100, 100, 100",0,30%,24%,27%,"100, 100, 100, 100",0%,29%,23%,25%,"158.2, 28.48%",HMPE ,125,Polyester,161.4/158,FWD : 3/2/2/2 :::::::: 2/2/2/3 AFT  ,11.5,3,1.7,2.5,"3, 3, 3, 3",Have,"14,000",4,1.5,2.1,Fibre core 6 core connector,37 way electrical receptacle,Radar,Float,595,381,37.8,470 mm,"6.3 Max, 3.2 Min.",5,7.22,5.32,3.92,2.02,
Seapeak Manila,9770921,C6CH8,Bahamas,Nassau,2018,Hai Jiao 1606,Seapeak Maritime,Membrane,173578.7,DNV,Reliq Plant,GCU,294.9,282.9,46.4,26.5,26.5,31.21,0,9.4,11.5,0,"119,823.00","119,823.00",20,"100, 100, 100, 100",18%,17%,21%,23%,"100, 100, 100, 100",17%,16%,19%,22%,"152.5, 27.46%",HMPE ,125,Nylon,160,FWD : 3/2/2/2 (in) :::::::: 2/2/2/3 AFT  ,3.5,3,1.6,2.4,"3, 3, 3, 3",Have,"14,000",4,1.69,1.71,FC-Type Connector,"37 way & 4 way, HDE-B1716-621S2 (Female) ",Radar type,Float Type,595.4,381,36.6,470 mm,"6.3 Max, 3.2 Min.",8,7.5,5.4,4.9,2.8,
SERI CAMELLIA,9714276,9MVR8,Malaysia,Port Kelang,2013,SERI CAMELLIA (L) PRIVATE LIMITED,SERI CAMELLIA (L) PRIVATE LIMITED,Moss-Type,150727,Lloyds Register,Gas Burning,N/A,290.2,277,48.9,23.35,27.64,31.75,0,9.3,11.5,0,"108,818.00","108,818.00",20,"12, 100, 100, 99",74%,27%,22%,26%,"80, 100, 100, 100",23%,19%,25%,28%,"144.6, 26.04%",GWSR ,143,Polyester,179,FWD : 3/3/2/2 :::::::: 2/2/3/3 AFT  ,2.5,1.7,0.4,3.5,"3, 3, 3, 3",Have,"11,600",5,1.05,2.25,6 way connector,SVHN-8F Male & SCHC 8-88F Female,Radar,Float,597,381,36.6,469.9 mm,"3.2 Max, 6.3 Min.",10,6,3.8,4.5,2.3,
Seri Cempaka,9714290,9MWM8,Malaysian,Port Kelang,2017,Seri Cempaka (L) Ptd Ltd.,MISC Marine,Moss-Type,150546.6,ABS   (As per HVPQ & Ship's particular),Gas Burning,Gas Burning,292.2,277,48.9,23.35,27.64,31.75,0,9.3,11.5,0,"108,818.00","108,818.00",20,"12, 100, 100, 99",24%,27%,30%,33%,"80, 100, 100, 100",21%,19%,29%,32%,"144.6, 26.04%",Galv.steel wire rope ,143,Polyester,179,FWD : 3/3/2/2 :::::::: 2/2/3/3 AFT  ,3.5,1.7,0.36,3.54,"3, 3, 3, 3",?,"11,600",5,1.05,2.25,6 way connector,37 way fibre core cable connector,Radar,Float,597,381,36.6,469.9 mm,"3.2 Max, 6.3 Min.",10,7.64,5.44,4.88,2.68,
SM EAGLE,9761827,3EMX3,PANAMA,PANAMA,2017,SMKLC LNG1 S.A.,"KLCSM CO., LTD.",Membrane,174263.16,KR&ABS,Gas Burning,Reliq Plant,295.5,283.5,46.4,26.5,26.5,31.21,0,9.4,11.7,0,"122,268.00","122,268.00",20,"100, 100, 100, 100",14%,14%,17%,19%,"100, 100, 100, 100",14%,14%,17%,19%,"155.8, 28.05%",UHMWPE ,125,NYLON MULTIFILAMENT,156,FWD : 3/2/2/2 :::::::: 2/2/2/3 AFT  ,3.05,2.87,1.6,2.2,"3, 3, 3, 3",Have,"12,660",10 barg (L) 2.4 barg (V),1.69,1.51,ST TYPE(FC multimode / 6 core),PYLE NATIONAL - 37 CORES WITH ADAPTER,"ROSEMOUNT TANKRADAR STaR SYSTEM R2907, WORKSATION V9B0","ROSEMOUNT TANKRADAR STaR SYSTEM R2907, WORKSATION V9B0",595.4,387,36.6,470 mm,"3.2 Max, 6.3 Min.",0,7.54,5.24,4.9,2.604,
