Ship's Name,IMO number,Call Sign,Flag Country,Port of registry ,Year Built,Owner ,Operator,Type of Cargo Containment System,Tank Capacity (total 100% full),Classification Society, 1st Gas management System,2ndGas management System, LOA,LBP,Breadth (Moulded),Depth (Moulded),Upper deck height above BL,Manifold heigh above BL,Draft  (Design),Draft  (Ballast),Draft  (Load),Displacement (Design),Displacement (Loaded) ,Gross tonnage,Allowable Hull Pressure (ton/m²),Ballast Fender Percentage AA->DD,Fender Reaction Force (%) AA,Fender Reaction Force (%) BB,Fender Reaction Force (%) CC,Fender Reaction Force (%) DD,Loaded Fender Percentage AA->DD,Fender Reaction Force (ton) AA,Fender Reaction Force (ton) BB,Fender Reaction Force (ton) CC,Fender Reaction Force (ton) DD,Berthing Energy & Fender Absorb Percentage,Mooring Rope,Rope BL,Mooring Tail,Tail BL,Mooring Pattern,Gangway B-A,Gangway D-C,Margin Gangway Upper,Margin Gangway Lower,Manifold Space,ESD By-Pass,Maximum Flow ,Maximum Manifold Barrg,Margin Manifold Upper,Margin Manifold Lower,FiberOpic Connector Type,Electric Connector Type,Primary CTMS,Secondary CTMS,SDP Outside Diameter,SDP inside Diameter,Flage Thickness,Raised Face,Surface Finish,Count of SDP onboard,Higher Sunkenbitt BL,Higher Sunkenbitt Load,Lower Sunkenbitt BL2,Lower Sunkenbitt Load3,
TIANSHAN,1024754,VRWS4,HONG KONG,HONG KONG,2026,PCI LNG,"COSCO SHIPPING LNG (Hong Kong) Ship Management Co., Ltd.",Membrane,174257.210 m3,CCS,Gas Burning,GCU,295,288,45,26.25,26.25,31.4,0,9.4,11.5,0,"116,293.40","116,293.40",20,"45, 100, 100, 100",39%,17%,21%,23%,"99, 100, 100, 100",18%,17%,19%,22%,"154.6, 27.84%",HMPE ,115,NYLON,158,FWD : 3/2/2/2 :::::::: 2/2/2/3 AFT  ,12.4,2.1,1.85,2.15,"3, 3, 3, 3",None,"14,029",4,1.5,1.9,6-way Furukawa,37pin PYLE national compatible & MIYAKI compatible,GLH-310/5,GLH-310/5,595,387,38,469.9 mm,"6.3 Max, 3.2 Min.",5,5.95,3.85,3.6,1.5,
Woodside Donaldson,9369899,9V8262,Singapore,Singapore,2009,MALT Singapore PTE LTD,Seapeak Maritime Glasgow,GTT Mark III,165757.943,Bureau Veritas,Gas Burning,GCU,286.17,275,43.4,26.6,26.6,31.4,0,9.6,11.9,0,"110,217.00","110,217.00",28,"86, 100, 100, 100",14%,11%,14%,16%,"100, 100, 100, 100",11%,10%,13%,14%,"146.5, 26.38%",Galvanised steel wires ,115,High performance polyester,177,FWD : 2/3/2/2 :::::::: 2/2/3/2 AFT  ,4,2.65,1.7,2.1,"3, 3, 3, 3",Have,"12,500",4,1.7,1.5,C-411 (6 PINS),HDE-B1716-621SL-AG (Female) ,Tank Radar level gauge system,FIG3304,595,387,38.8,460 mm,"12.5 Max, 3.2 Min.",8,5.05,2.75,0.88,-1.42,
Woodside Rogers,9627485,SVBS6,Hellenic (Greek),Piraeus/Greece,2013,"MARGIE  SEAWAY CORPORATION INC. / LIBERIA, C/O MARAN GAS MARITIME INC. ",MARAN GAS MARITIME INC,Membrane,159846.98,DNV,Gas Burning,GCU,294.2,283.2,44,26,26,31,0,8.7,11.5,0,"111,858.40","111,858.40",20,"100, 100, 100, 100",19%,20%,24%,27%,"100, 100, 100, 100",22%,21%,24%,28%,"148.7, 26.77%",HMPE ,125,Polyester,160,FWD : 3/2/2/2 :::::::: 2/2/2/3 AFT ,13.8,2.97,1.4,1.9,"3, 3, 3, 3",Have,"12,500",10,1.2,1.5,Furukawa Compatible 6 pin connector,37-way Pyle Connector,Radar,Float Level Gauge,595.4,387,36.6,470 mm,"6.3 Max, 3.2 Min.",5,4.71,1.91,2.71,-0.09,
CELSIUS CHARLOTTE,9878711,V7A4386,MARSHALL ISLANDS,MAJURO,44361,"Xiang H24 International Ship Lease Co., Limited",Celsius Tech Ltd.,Membrane,180289.5,Lloyd's Register,Gas Burning,GCU,299.16,292,45.8,26.2,26.2,31.5,0,9.6,11.5,"123,265.00","123,265.00","123,265.00",14,"100, 100, 100, 100",27%,26%,32%,37%,"100, 100, 100, 100",26%,24%,30%,34%,"163.8, 29.49%",HMPE ,127,nylon,160,FWD : 3/2/2/2 :::::::: 2/2/2/3 AFT  ,2.5,1.9,2.1,2.1,"3, 3, 3, 3",Have,"15,600",5,1.6,2,6-WAY FO SHIP TYPE CONNECTORS,PYLE-NATTIONAL COMPATIBLE 37 WAY-CONNECTOR,"Custody Transfer System, Secondary Level Gauging System, Tank Overfill, Protection System GLA-310/5","Custody Transfer System, Secondary Level Gauging System, Tank Overfill, Protection System GLA-310/5",595,387.4,36.6,460 mm,"6.3 Max, 3.2 Min.",10,6.89,4.99,3.59,1.69,
BW PAVILION LEEARA,9640645,9V2726,SINGAPORE,SINGAPORE,2015,BW PAVILION LEEARA PTE LTD,BW LNG AS,Membrane,161866.18,DNV,Gas Burning,GCU,288.89,275,45.6,26,26,31.75,0,9.02,11.5,0,"112,777.00","112,777.00",20,"0, 100, 100, 100",#DIV/0!,25%,22%,24%,"100, 100, 100, 100",0%,24%,21%,22%,"151.9, 27.35%",HMPE ,127,Polyester,181,FWD : 3/2/2/2 :::::::: 2/2/2/3 AFT  ,3.5,3.2,1.72,1.9,"3, 3, 3, 3",Have,"12,400",5,0.77,2.25,8 FIBER CORE CABLE CONNECTOR,37 WAY PYLE RECEPTACLE,Radar,WHESSOE TOTAL AUTOMATION LTD.FIG 3304,595.4,387.4,37.6,469.9 mm,"6.3 Max, 3.2 Min.",5,8.21,5.73,5.36,2.879,
GLOBAL SEALINE,9880477,V7A4694,Marshall Islands,Majuro,2022,Hai Kuo Shipping 2219G Limited,Nakilat Shipping (Qatar) Limited - NSQL,Membrane,174254,DNV,Gas Burning,Reliq Plant,294.9,288.5,46.4,26.5,26.5,30.86,0,8.75,12.2,0,"117,242.30","117,242.30",20,"42, 100, 100, 100",39%,17%,22%,25%,"100, 100, 100, 100",19%,18%,22%,25%,"155.8, 28.05%",HMPE ,128,NIKA NYLON,160,FWD : 3/2/2/2(in) :::::::: 2/2/2/3 AFT  ,3,3,0.95,1.7,"3.05, 3.05, 3.05, 3.05",Have,"14,000",5,1.39,0.66,FC Type Connector (6 core),HDE-B1716-621SL-AG(female) : Pyle-National AF-Series Compatible,GLA-310/5,FTLG 807 SUS/T39,595.4,381,36.6,470 mm,"6.3 Max, 3.2 Min.",10,6.93,3.48,4.44,0.99,
GREENERGY MOON,9961506,9V8594,SINGAPORE,SINGAPORE,2025,COMPASS SHIPPING 118 PRIVATE LIMITED,MOL GLOBAL SHIP MANAGEMENT PTE. LTD.,Membrane,174249.67,ABS + CCS,Gas Burning,GCU,299,291,46.4,26.25,26.25,31,0,9.3,11.5,0,"117,089.60","117,089.60",20,"84, 100, 100, 96",24%,18%,23%,26%,"100, 100, 100, 100",20%,19%,23%,26%,"155.6, 28.02%",HMPE ,126,NYLON POLYAMIDE,158,FWD : 3/2/2/2 :::::::: 2/2/2/3 AFT  ,21.3,2.58,1.75,2.15,"3, 3, 3, 3",None,"14,000",5,1.8,1.5,FC Multimode type 6 core connector,37 Pyle National,Radar,Radar,597,387,38,469 mm,"6.3 Max, 3.2 Min.",5,6.97,4.77,4.67,2.47,
Clean Sirocco,9967342,9HA6178 ,Malta,Valletta,2026,Bright Navigation Limited,Dynagas Ltd,Membrane,199852.08,BV,Gas Burning,GCU,299.78,294.6,48.9,26.9,26.9,31.15,0,9.3,11.5,0,"130,266.00","130,266.00",32.6,"100, 100, 100, 100",5%,14%,13%,14%,"100, 100, 100, 100",11%,11%,13%,14%,"173.1, 31.17%",UHMPE ,131,nylon,164,FWD : 3/2/2/2 :::::::: 2/2/2/3 AFT  ,2.5,30.9,1.1,2.8,"3, 3, 3, 3",Have,"16,400",4,1.65,1.65,FC - Type-Way Furukawa-compatible (6 core) connector,37-Way Receptacle & Miyaki Telephone Receptacle,Radar Level Gauge,Float Level Gauge,595,387,38,469.9 mm,"6.3 Max, 3.2 Min.",5,7.45,5.25,3.75,1.55,
MARVEL FALCON,9760768,9V5057,SINGAPORE,SINGAPORE,2018,"TEA TREE SHIPPING PTE. LTD.
Harbourfront Place, #14-01, Harbourfront Tower One, Singapore,98633
SINGAPORE","NYK SHIPMANAGEMENT PTE LTD
1 HarbourFront Place #15-01 HarbourFront Tower One
Singapore 098633",Membrane,174231.8,ABS,Gas Burning,GCU,293.3,285,45.8,26.2,26.2,30.1,0,9.6,11.35,0,"115,962.00","115,962.00",20,"65, 100, 100, 100",26%,16%,19%,22%,"100, 100, 100, 100",17%,15%,18%,20%,"154.1, 27.75%",HMPE rope ,127,High Tenacity Polyolefin & High Tenacity Polyester,161,FWD : 2/2/2/2(in) :::::::: 2/2/2/2 AFT  ,8.4,2.6,2.1,2.25,"3, 3, 3, 3",Have,"14,000",5,3,0.75,6-Way (Furukawa-Compatible) FO ship type connectors,"Pyle-National compatible 37 Way connector (Plug & Receptacle),Miyaki compatible 6-Way ",Radar microwave transmitter,Radar microwave transmitter,598.5,387.4,38,469.9 mm,"6.3 Max, 3.2 Min.",5,6.23,4.48,3.76,2.01,
SOLARIS,9634098,ZCEL5,BERMUDA,HAMILTON,2014,GAS-Eight LTD,Gaslog LNG Services Ltd,Membrane,155106.6,ABS,Gas Burning,GCU,285.12,274,43.4,26,29.9,30.8,0,9.3,11.5,0,"105,879.20","105,879.20",20,"100, 100, 100, 100",18%,17%,22%,24%,"100, 100, 100, 100",18%,16%,21%,23%,"140.7, 25.33%",HMPE ,128,PE,161,FWD : 2/3/2/2 :::::::: 2/2/3/2 AFT  ,6,2.97,0.95,2.95,"3, 3, 3, 3",None,"12,000",4,2,1.3,6-way (furukawa-compatible),"37 Way Electrical Receptable, 4-Way Electrical Receptable",Radar level ,float level,597,387.4,36.6,469.9 mm,"6.3 Max, 3.2 Min.",5,6.9,4.7,3.6,1.4,
